iter	RMSE
0	2111.528398
1	1939.573556
2	1785.446168
3	1650.194532
4	1530.911342
5	1426.473188
6	1334.41496
7	1253.919295
8	1184.241138
9	1124.690423
10	1073.929391
11	1028.943352
12	991.8077003
13	960.0628105
14	933.5617065
15	910.7881842
16	892.4680569
17	876.4748393
18	863.1998493
19	852.4817801
20	843.3963898
21	835.8054115
22	829.5678337
23	824.765182
24	820.5043294
25	816.9939824
26	814.0951346
27	811.7551401
28	809.773125
29	808.0928497
30	806.6797423
31	805.5435263
32	804.6815101
33	803.906053
34	803.2399383
35	802.740737
36	802.267227
37	801.8891688
38	801.5616715
39	801.2790871
40	801.0630592
41	800.880388
42	800.6968099
43	800.5366611
44	800.3768422
45	800.2443944
46	800.1180989
47	800.0182903
48	799.8862513
49	799.7816907
50	799.6994027
51	799.6231984
52	799.5557426
53	799.4828908
54	799.3957387
55	799.2503992
56	799.1857148
57	799.0824841
58	799.0540661
59	798.9629192
60	798.8741049
61	798.7938961
62	798.68721
63	798.6470348
64	798.5338652
65	798.4206109
66	798.3448307
67	798.2536616
68	798.1452719
69	798.0330986
70	797.9651857
71	797.8852804
72	797.781068
73	797.7511408
74	797.6843567
75	797.633854
76	797.5587942
77	797.5061173
78	797.4174204
79	797.3637179
80	797.2695524
81	797.238628
82	797.1059223
83	797.0019013
84	796.9144965
85	796.8678539
86	796.8302583
87	796.7514768
88	796.7024754
89	796.6291796
90	796.5485161
91	796.4816816
92	796.4448398
93	796.3582082
94	796.2416826
95	796.1924618
96	796.1237343
97	796.0569867
98	796.003609
99	795.9246064
