iter	Passed	Remaining
0	75	7485
1	96	4734
2	116	3773
3	153	3692
4	170	3241
5	180	2833
6	199	2647
7	209	2414
8	220	2229
9	227	2048
10	240	1943
11	248	1825
12	259	1734
13	269	1652
14	280	1588
15	292	1536
16	303	1483
17	313	1426
18	325	1387
19	344	1376
20	357	1345
21	370	1311
22	378	1267
23	391	1239
24	403	1210
25	413	1176
26	424	1147
27	442	1137
28	456	1118
29	474	1106
30	492	1096
31	507	1077
32	522	1061
33	541	1051
34	554	1028
35	566	1007
36	577	983
37	589	961
38	600	939
39	607	911
40	641	922
41	652	900
42	667	884
43	675	859
44	686	839
45	697	818
46	705	795
47	722	782
48	751	781
49	761	761
50	772	741
51	792	731
52	806	715
53	818	697
54	825	675
55	839	659
56	850	641
57	857	620
58	867	603
59	876	584
60	884	565
61	892	547
62	902	530
63	912	513
64	920	495
65	934	481
66	941	463
67	951	447
68	959	431
69	968	414
70	977	399
71	996	387
72	1014	375
73	1034	363
74	1047	349
75	1055	333
76	1065	318
77	1074	303
78	1083	287
79	1090	272
80	1097	257
81	1104	242
82	1113	228
83	1124	214
84	1135	200
85	1145	186
86	1153	172
87	1162	158
88	1170	144
89	1178	130
90	1185	117
91	1192	103
92	1199	90
93	1208	77
94	1216	64
95	1228	51
96	1238	38
97	1248	25
98	1256	12
99	1265	0
